epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,1522.47,1.5453,0.71173,0.98765,0.91744,0.95833,0.9545,0.49195,1.66704,0.69261,1.01782,0.0010595,0.0010595,0.0010595
97,1538.02,1.48595,0.66741,0.97813,0.93174,0.94801,0.96703,0.49437,1.69326,0.67013,1.02149,0.0010496,0.0010496,0.0010496
98,1553.67,1.51456,0.69429,1.00418,0.94337,0.92552,0.96951,0.50583,1.66853,0.66996,1.01681,0.0010397,0.0010397,0.0010397
99,1569.2,1.49623,0.69721,0.98656,0.94821,0.94444,0.98403,0.53266,1.62372,0.67991,1.00511,0.0010298,0.0010298,0.0010298
100,1584.89,1.55041,0.6845,1.0121,0.94984,0.97222,0.98667,0.51363,1.64432,0.68622,1.01834,0.0010199,0.0010199,0.0010199
101,1600.53,1.55676,0.69316,0.98983,0.97138,0.94265,0.98422,0.49845,1.68982,0.67663,1.03015,0.00101,0.00101,0.00101
102,1616.15,1.47989,0.67195,0.96957,0.97127,0.93916,0.98176,0.48861,1.72177,0.67723,1.03416,0.0010001,0.0010001,0.0010001
103,1631.66,1.47388,0.64805,0.985,0.9582,0.94444,0.98256,0.49434,1.69657,0.66927,1.02719,0.0009902,0.0009902,0.0009902
104,1647.23,1.44308,0.66469,0.9621,0.94063,0.95833,0.9802,0.49857,1.64212,0.65262,1.0152,0.0009803,0.0009803,0.0009803
105,1662.61,1.50792,0.68199,0.97618,0.945,0.95466,0.98207,0.50776,1.63135,0.64456,1.01469,0.0009704,0.0009704,0.0009704
106,1678.04,1.47622,0.6592,0.96836,0.94401,0.9367,0.98223,0.50467,1.63701,0.66151,1.01497,0.0009605,0.0009605,0.0009605
107,1693.49,1.48671,0.68118,0.99713,0.93371,0.94444,0.97698,0.50149,1.65351,0.68796,1.01406,0.0009506,0.0009506,0.0009506
108,1709.18,1.4881,0.67786,0.98273,0.94194,0.94444,0.97091,0.47783,1.69517,0.67142,1.02159,0.0009407,0.0009407,0.0009407
109,1724.56,1.46597,0.66027,0.96872,0.95351,0.94444,0.97548,0.47932,1.67973,0.65439,1.02103,0.0009308,0.0009308,0.0009308
110,1739.94,1.44051,0.64524,0.9725,0.90604,0.98611,0.98055,0.48192,1.64671,0.65311,1.00992,0.0009209,0.0009209,0.0009209
111,1755.42,1.45502,0.65103,0.97714,0.89683,0.98611,0.98007,0.48542,1.64401,0.65081,1.00401,0.000911,0.000911,0.000911
112,1770.93,1.41201,0.63124,0.96008,0.89559,0.95833,0.95708,0.49235,1.62597,0.69524,0.99579,0.0009011,0.0009011,0.0009011
113,1786.32,1.44399,0.66816,0.96678,0.89573,0.95833,0.94738,0.48353,1.63602,0.6915,0.99862,0.0008912,0.0008912,0.0008912
114,1801.7,1.43698,0.6535,0.97446,0.91639,0.94444,0.95557,0.4882,1.63871,0.68904,1.00067,0.0008813,0.0008813,0.0008813
115,1817.14,1.51443,0.6831,0.98491,0.91901,0.94558,0.96669,0.49331,1.66474,0.67477,1.01179,0.0008714,0.0008714,0.0008714
116,1832.55,1.4526,0.6283,0.99516,0.89113,0.95833,0.96914,0.47817,1.7266,0.66882,1.02748,0.0008615,0.0008615,0.0008615
117,1848,1.49038,0.6447,0.98753,0.89751,0.97297,0.97958,0.47132,1.73557,0.65819,1.03157,0.0008516,0.0008516,0.0008516
118,1863.49,1.45644,0.64941,0.99468,0.90887,0.96961,0.9792,0.46848,1.76845,0.65727,1.03961,0.0008417,0.0008417,0.0008417
119,1878.92,1.51667,0.66507,0.98796,0.88854,0.99651,0.9743,0.44906,1.79312,0.66856,1.04867,0.0008318,0.0008318,0.0008318
120,1894.72,1.41398,0.62961,0.98571,0.88842,0.99528,0.95823,0.41548,1.83168,0.68579,1.07098,0.0008219,0.0008219,0.0008219
121,1910.25,1.38392,0.62706,0.96678,0.88375,0.97222,0.92886,0.42811,1.82349,0.67947,1.06786,0.000812,0.000812,0.000812
122,1925.68,1.412,0.63615,0.95593,0.88353,0.94831,0.9309,0.43901,1.80694,0.67056,1.06007,0.0008021,0.0008021,0.0008021
123,1941.1,1.46814,0.6702,0.96898,0.92343,0.95833,0.95369,0.45706,1.79713,0.669,1.05565,0.0007922,0.0007922,0.0007922
124,1956.61,1.36792,0.62579,0.94146,0.93213,0.95375,0.97321,0.47429,1.74538,0.65856,1.04624,0.0007823,0.0007823,0.0007823
