epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,16070.7,1.09738,0.43319,1.01308,0.96944,0.98375,0.99332,0.63496,1.26292,0.46346,1.10987,0.0010001,0.0010001,0.0010001
103,16162.7,1.11869,0.44073,1.00965,0.97691,0.98388,0.99386,0.63369,1.2699,0.47513,1.10916,0.0009902,0.0009902,0.0009902
104,16222.1,1.13734,0.45432,1.0269,0.98199,0.9845,0.99438,0.62499,1.27934,0.46026,1.12252,0.0009803,0.0009803,0.0009803
105,16279.6,1.10464,0.44055,1.00612,0.97696,0.98595,0.99422,0.6331,1.24033,0.44473,1.10821,0.0009704,0.0009704,0.0009704
106,16337.3,1.10463,0.43639,1.00811,0.99125,0.9845,0.99422,0.6295,1.26293,0.4413,1.11243,0.0009605,0.0009605,0.0009605
107,16394.9,1.11228,0.43584,1.00732,0.99212,0.97614,0.9941,0.63612,1.25433,0.45683,1.11572,0.0009506,0.0009506,0.0009506
108,16452.7,1.09918,0.43083,1.00595,0.98306,0.97674,0.99396,0.63282,1.25405,0.46864,1.11914,0.0009407,0.0009407,0.0009407
109,16579.7,1.15495,0.45685,1.03363,0.98547,0.97674,0.99409,0.61278,1.31681,0.46109,1.13735,0.0009308,0.0009308,0.0009308
110,16713.2,1.14348,0.43841,1.01592,0.96758,0.97674,0.99312,0.63316,1.2496,0.45755,1.10555,0.0009209,0.0009209,0.0009209
111,17040.4,1.09812,0.43684,1.01152,0.96944,0.98357,0.9933,0.61832,1.26962,0.46666,1.11891,0.000911,0.000911,0.000911
112,17196.5,1.09416,0.43833,1.02572,0.97691,0.98387,0.99344,0.6347,1.24366,0.45675,1.10793,0.0009011,0.0009011,0.0009011
113,17254.9,1.07906,0.43458,0.99984,0.96944,0.98357,0.99308,0.6303,1.25708,0.44919,1.10994,0.0008912,0.0008912,0.0008912
114,17316.3,1.09955,0.44372,0.9998,0.98447,0.98305,0.99446,0.63507,1.21758,0.44228,1.09579,0.0008813,0.0008813,0.0008813
115,17377.2,1.1013,0.44751,0.98521,0.97707,0.99096,0.994,0.64633,1.19056,0.42954,1.08495,0.0008714,0.0008714,0.0008714
116,17438.3,1.06406,0.4241,0.99879,0.96943,0.98319,0.99281,0.63302,1.24174,0.45391,1.0992,0.0008615,0.0008615,0.0008615
